"filename", "language", "Go", "XML", "Markdown", "JSON", "comment", "blank", "total"
"z:\Home\IT\Code\go\src\github.com\kacpekwasny\payments-backend\README.md", "Markdown", 0, 0, 0, 0, 0, 1, 1
"z:\Home\IT\Code\go\src\github.com\kacpekwasny\payments-backend\cmd\main\conf.json", "JSON", 0, 0, 0, 8, 0, 0, 8
"z:\Home\IT\Code\go\src\github.com\kacpekwasny\payments-backend\cmd\main\init.go", "Go", 29, 0, 0, 0, 1, 6, 36
"z:\Home\IT\Code\go\src\github.com\kacpekwasny\payments-backend\cmd\main\main.go", "Go", 21, 0, 0, 0, 2, 7, 30
"z:\Home\IT\Code\go\src\github.com\kacpekwasny\payments-backend\cmd\main\set-routes.go", "Go", 25, 0, 0, 0, 3, 7, 35
"z:\Home\IT\Code\go\src\github.com\kacpekwasny\payments-backend\go.mod", "XML", 0, 7, 0, 0, 0, 3, 10
"z:\Home\IT\Code\go\src\github.com\kacpekwasny\payments-backend\internal\funcs\check-user-input.go", "Go", 12, 0, 0, 0, 0, 4, 16
"z:\Home\IT\Code\go\src\github.com\kacpekwasny\payments-backend\internal\funcs\convert.go", "Go", 116, 0, 0, 0, 9, 15, 140
"z:\Home\IT\Code\go\src\github.com\kacpekwasny\payments-backend\internal\funcs\cookie.go", "Go", 31, 0, 0, 0, 0, 6, 37
"z:\Home\IT\Code\go\src\github.com\kacpekwasny\payments-backend\internal\funcs\log.go", "Go", 15, 0, 0, 0, 0, 4, 19
"z:\Home\IT\Code\go\src\github.com\kacpekwasny\payments-backend\internal\funcs\respond.go", "Go", 46, 0, 0, 0, 16, 10, 72
"z:\Home\IT\Code\go\src\github.com\kacpekwasny\payments-backend\internal\json_structs\payments_room.go", "Go", 28, 0, 0, 0, 5, 9, 42
"z:\Home\IT\Code\go\src\github.com\kacpekwasny\payments-backend\internal\json_structs\validate.go", "Go", 27, 0, 0, 0, 4, 9, 40
"z:\Home\IT\Code\go\src\github.com\kacpekwasny\payments-backend\internal\router\init.go", "Go", 10, 0, 0, 0, 0, 4, 14
"z:\Home\IT\Code\go\src\github.com\kacpekwasny\payments-backend\internal\router\router.go", "Go", 12, 0, 0, 0, 4, 5, 21
"z:\Home\IT\Code\go\src\github.com\kacpekwasny\payments-backend\internal\router\routes-get.go", "Go", 32, 0, 0, 0, 1, 9, 42
"z:\Home\IT\Code\go\src\github.com\kacpekwasny\payments-backend\internal\router\routes-post.go", "Go", 47, 0, 0, 0, 0, 10, 57
"z:\Home\IT\Code\go\src\github.com\kacpekwasny\payments-backend\internal\router\routes-update.go", "Go", 132, 0, 0, 0, 12, 22, 166
"z:\Home\IT\Code\go\src\github.com\kacpekwasny\payments-backend\internal\router\sql-get.go", "Go", 87, 0, 0, 0, 1, 16, 104
"z:\Home\IT\Code\go\src\github.com\kacpekwasny\payments-backend\internal\router\sql-post.go", "Go", 42, 0, 0, 0, 7, 8, 57
"z:\Home\IT\Code\go\src\github.com\kacpekwasny\payments-backend\internal\router\sql-update.go", "Go", 1, 0, 0, 0, 0, 1, 2
"z:\Home\IT\Code\go\src\github.com\kacpekwasny\payments-backend\internal\wrappers\LogRequests.go", "Go", 11, 0, 0, 0, 0, 3, 14
"z:\Home\IT\Code\go\src\github.com\kacpekwasny\payments-backend\internal\wrappers\auth.go", "Go", 108, 0, 0, 0, 11, 18, 137
"z:\Home\IT\Code\go\src\github.com\kacpekwasny\payments-backend\internal\wrappers\init.go", "Go", 22, 0, 0, 0, 0, 5, 27
"z:\Home\IT\Code\go\src\github.com\kacpekwasny\payments-backend\pkg\sql_conn_manager\methods.go", "Go", 40, 0, 0, 0, 11, 6, 57
"z:\Home\IT\Code\go\src\github.com\kacpekwasny\payments-backend\pkg\sql_conn_manager\mngr-methods.go", "Go", 147, 0, 0, 0, 9, 16, 172
"z:\Home\IT\Code\go\src\github.com\kacpekwasny\payments-backend\pkg\sql_conn_manager\struct.go", "Go", 50, 0, 0, 0, 4, 13, 67
"Total", "-", 1091, 7, 0, 8, 100, 217, 1423
